ticker,net_volume,net_notional_usd,total_pnl,num_adl_events,avg_price
HYPE,3829369.5,136989589.01232,38811266.521316,5441,35.88579893401948
PUMP,8171686151.0,30046575.51186,11549255.208152,1647,0.003903664845173042
XPL,44070813.0,20584961.58415,24567118.990984,2744,0.49610012755102045
ENA,44443142.0,16187524.815500002,11622606.32162,32,0.38303750000000003
FARTCOIN,38085472.5,15823000.844982,22303740.944104,1456,0.41013695054945054
IP,1223993.3,7765472.18526,3639524.044314,203,6.381113793103448
PENGU,299127482.0,6425636.281715999,3406849.015379,165,0.021654654545454545
LINK,338839.7,5658087.888,2121621.353306,91,17.135285714285715
LINEA,263903072.0,4628382.681220001,2638243.718507,140,0.01750105
ENS,273877.77,4448322.74034,1851320.31473,96,16.242
HBAR,23371296.0,3963304.37568,1370949.016439,109,0.16958
LDO,4367764.3,3924692.548645,1771397.439672,57,0.8945991228070176
ASTER,2864282.0,3670004.5266000004,1316585.191016,277,1.2813
PURR,21070565.0,2487052.7363,1860675.741275,141,0.11849021276595745
MNT,1199469.5999999999,1961858.08787,630358.032397,97,1.6704587628865981
AVAX,84454.65,1864336.39875,625356.854806,50,22.075
W,20104528.8,1581623.280696,657089.623974,90,0.07867
CRV,2684673.5,1425389.86953,626463.389296,54,0.5320333333333334
CHILLGUY,42738955.0,1164722.0016599998,842642.56449,68,0.027252
POPCAT,7649140.0,1164505.0735999998,2058804.6723190001,82,0.15224
APT,279654.25,1146246.8399,779036.432412,27,4.0988
APEX,883430.0,1108086.249,892103.382078,26,1.2543000000000002
LAUNCHCOIN,13541347.0,1066678.9858839998,737857.104511,44,0.078772
ONDO,1513076.0,867217.4271699999,539960.2982750001,16,0.55052375
STRK,6645075.8,861334.7251960001,205484.978485,44,0.12962
ZK,15668523.0,683774.34372,243011.061512,71,0.04364
LTC,6244.09,673780.1253,131829.946547,3,111.36
kBONK,51068839.0,652761.900098,345749.651752,38,0.012782
BIGTIME,14805907.0,530421.618275,256056.48183200002,52,0.035825
SUI,204085.9,521936.80856,143815.893262,26,2.4943999999999997
BERA,299172.80000000005,513245.57076000003,291874.420212,11,1.722363636363636
ZEC,2479.56,509599.17120000004,81430.773501,73,205.52
IO,1363635.9,508270.097502,449753.44969000004,26,0.36684153846153844
VIRTUAL,772708.0,474218.62668,694202.0881589999,40,0.61371
ZORA,5042348.0,403932.41358399997,130097.550945,92,0.080108
GRASS,689233.1,312773.98078,364754.381367,35,0.4538
JUP,1046445.0,297546.1713,227555.74392,1,0.28434
ZEREBRO,23406635.0,286343.440084,175905.80285200002,41,0.012148634146341465
SNX,283936.2,285071.9448,29958.527991,13,1.004
DOGE,1457606.0,275691.59884,109778.807034,3,0.18914
TON,124645.3,251135.35044,119197.65150600001,40,2.0148
MORPHO,182700.6,211749.9954,153077.416803,19,1.159
STX,412024.7,174933.326879,75986.40199099999,21,0.42457
SOPH,7193597.0,163906.107645,50576.402544,17,0.022785
CAKE,51973.4,133992.62254,53426.96999,39,2.5781
VINE,2998238.0,122439.045206,101626.706412,29,0.040837
PROMPT,1075662.0,100234.3162,102257.191356,28,0.08832678571428572
ZRO,55530.9,92486.71395,34716.529965,17,1.6655
INJ,8373.3,77436.2784,55871.03284,19,9.248
MELANIA,601214.9,69217.871437,61344.952662,83,0.11513
STBL,589491.0,66081.9411,49262.844485,11,0.1121
EIGEN,50288.01,61891.65120900001,34465.078415,9,1.3181
DOT,17044.5,52243.09695,13883.789786999998,9,3.0651
WLD,56596.2,50417.02688399999,30849.411986,30,0.89082
TRUMP,7180.5,41863.03305,15415.186349,29,5.8301
FXS,26436.8,38386.2336,28140.538933,18,1.452
UNI,4526.7,28089.53151,9273.017051,3,6.2053
SAND,97851.0,17481.081149999998,8678.93512,13,0.17865
SPX,12865.800000000001,14265.59904,4227.648516,10,1.1088
SEI,58787.0,11524.60348,7555.3477060000005,11,0.19604
ADA,16129.0,10209.01184,2210.144108,9,0.63296
ZEN,541.53,6511.89825,1977.548929,6,12.025
AAVE,30.15,6332.103,2616.88734,1,210.02
SOL,0.01,1.7444,1.53748,1,174.44
